"","ethnicity","region","sex","agegrp","qualification","occupation","hours","income"
"21429","Maori","Gisborne / Hawke's Bay","M",15,"None","Professionals",34.5,972
"21430","European","Auckland","F",40,"School","Community and Personal Service Worker",7.5,165
"21431","European","Other","M",60,"Vocational/Trade","Sales Workers",40,886
"21432","European","Auckland","M",40,"Bachelore or Higher","Professionals",46.5,991
"21433","European","Waikato","F",40,"Vocational/Trade","Labourers",38,773
"21434","European","Waikato","M",55,"Vocational/Trade","Managers",0,5274
"21435","European","Manawatu-Wanganui","F",20,"Vocational/Trade","Labourers",0,915
"21436","European","Waikato","F",20,"Bachelore or Higher","Professionals",19,368
"21437","Residual Categories","Auckland","F",20,"School","Clerical and Administrative Workers",40,594
"21438","European","Gisborne / Hawke's Bay","F",60,"Vocational/Trade","Clerical and Administrative Workers",0,173
"21439","European","Manawatu-Wanganui","F",35,"Vocational/Trade","Clerical and Administrative Workers",40,639
"21440","European","Gisborne / Hawke's Bay","M",20,"Vocational/Trade","Technicians and Trade Workers",0,1017
"21441","Asian","Auckland","F",15,"School","No Occupation",0,0
"21442","European","Canterbury","F",35,"Vocational/Trade","Clerical and Administrative Workers",0,738
"21443","Pacific People","Auckland","M",40,"Vocational/Trade","No Occupation",0,390
"21444","European","Other","M",25,"Bachelore or Higher","Professionals",48,1225
"21445","European","Waikato","F",60,"School","Clerical and Administrative Workers",40.5,-518
"21446","European","Bay of Plenty","F",60,"Vocational/Trade","Sales Workers",40,633
"21447","European","Wellington","F",65,"School","No Occupation",0,386
"21448","European","Canterbury","M",55,"Vocational/Trade","Technicians and Trade Workers",0,1437
"21449","Asian","Auckland","M",35,"Bachelore or Higher","No Occupation",0,886
"21450","Other","Canterbury","F",50,"Vocational/Trade","Professionals",37.5,1869
"21451","Other Ethnicity","Other","F",65,"None","No Occupation",0,-69
"21452","European","Nelson/Tasman/Marlborough/West Coast","M",50,"None","Machinery Operators and Drivers",45,792
"21453","European","Bay of Plenty","F",55,"School","Machinery Operators and Drivers",0,413
"21454","Pacific People","Auckland","M",15,"None","No Occupation",0,0
"21455","European","Other","M",20,"School","No Occupation",0,363
"21456","European","Auckland","M",50,"School","Technicians and Trade Workers",46,961
"21457","European","Canterbury","F",15,"None","No Occupation",0,0
"21458","Other","Auckland","F",15,"School","No Occupation",0,0
"21459","European","Bay of Plenty","F",65,"School","No Occupation",0,111
"21460","Pacific People","Auckland","M",35,"None","No Occupation",0,240
"21461","Other Ethnicity","Wellington","M",50,"Vocational/Trade","Managers",55,1444
"21462","Asian","Auckland","M",40,"Bachelore or Higher","Professionals",0,1143
"21463","European","Wellington","M",30,"Vocational/Trade","Labourers",40,864
"21464","European","Wellington","M",65,"School","Managers",0,316
"21465","European","Bay of Plenty","F",35,"Vocational/Trade","Sales Workers",80,2417
"21466","European","Northland","F",60,"None","Labourers",23,419
"21467","Asian","Auckland","F",65,"None","No Occupation",0,0
"21468","European","Waikato","F",20,"School","No Occupation",0,10
"21469","European","Northland","F",65,"Vocational/Trade","Labourers",37,703
"21470","European","Canterbury","F",60,"None","No Occupation",0,234
"21471","European","Auckland","M",15,"School","Machinery Operators and Drivers",50,762
"21472","European","Manawatu-Wanganui","M",45,"Vocational/Trade","Technicians and Trade Workers",40,509
"21473","European","Other","M",15,"None","Professionals",32.5,608
"21474","European","Wellington","M",50,"Bachelore or Higher","Professionals",45,2520
"21475","European","Taranaki","M",30,"Other","No Occupation",0,28
"21476","European","Canterbury","F",50,"School","Professionals",34,936
"21477","Pacific People","Auckland","M",20,"School","No Occupation",0,1241
"21478","Pacific People","Auckland","M",40,"School","No Occupation",0,285
"21479","Other","Manawatu-Wanganui","M",40,"School","Community and Personal Service Worker",36,984
"21480","European","Canterbury","M",15,"None","No Occupation",0,0
"21481","Maori","Bay of Plenty","M",50,"None","Machinery Operators and Drivers",20,1467
"21482","Asian","Auckland","M",50,"Bachelore or Higher","Professionals",0,2321
"21483","European","Nelson/Tasman/Marlborough/West Coast","F",60,"Vocational/Trade","Professionals",37,1013
"21484","Other","Canterbury","F",45,"Vocational/Trade","Technicians and Trade Workers",40,1456
"21485","European","Auckland","M",40,"Bachelore or Higher","Professionals",37.5,2846
"21486","European","Auckland","F",45,"Other","No Occupation",0,3
"21487","Pacific People","Auckland","F",30,"Other","Labourers",35,693
"21488","European","Waikato","F",20,"School","Professionals",32,766
"21489","Other","Wellington","F",40,"School","Sales Workers",38,704
"21490","European","Auckland","F",25,"Vocational/Trade","Professionals",25,983
"21491","European","Nelson/Tasman/Marlborough/West Coast","M",15,"School","No Occupation",0,26
"21492","European","Other","F",15,"School","No Occupation",0,508
"21493","Other","Wellington","F",55,"Other","Community and Personal Service Worker",16,576
"21494","European","Canterbury","M",45,"Other","Professionals",45,681
"21495","Middle Eastern/Latin American/African","Other","F",15,"None","Technicians and Trade Workers",0,1139
"21496","European","Canterbury","F",15,"School","Sales Workers",0,1797
"21497","European","Auckland","F",30,"Vocational/Trade","Sales Workers",37.5,883
"21498","European","Auckland","M",65,"Bachelore or Higher","No Occupation",0,343
"21499","European","Gisborne / Hawke's Bay","F",50,"School","Clerical and Administrative Workers",0,777
"21500","European","Auckland","F",50,"School","Clerical and Administrative Workers",40,594
"21501","European","Waikato","F",15,"None","No Occupation",0,0
"21502","European","Canterbury","F",65,"None","Labourers",28,931
"21503","European","Canterbury","M",25,"Vocational/Trade","Technicians and Trade Workers",0,1688
"21504","European","Manawatu-Wanganui","M",55,"Vocational/Trade","Professionals",40,844
"21505","European","Auckland","F",20,"School","No Occupation",0,350
"21506","European","Wellington","M",40,"School","Professionals",0,2321
"21507","European","Waikato","M",65,"Other","No Occupation",0,790
"21508","Other","Auckland","F",40,"Vocational/Trade","Community and Personal Service Worker",0,411
"21509","Maori","Canterbury","M",50,"Bachelore or Higher","Professionals",45,1397
"21510","European","Northland","M",65,"None","No Occupation",0,381
"21511","Other","Auckland","F",25,"School","Labourers",45,1095
"21512","European","Waikato","M",40,"School","Managers",57,1378
"21513","European","Waikato","M",40,"None","Managers",0,-4
"21514","European","Wellington","F",40,"Bachelore or Higher","Professionals",36,644
"21515","European","Canterbury","M",15,"School","No Occupation",0,0
"21516","European","Bay of Plenty","M",45,"Vocational/Trade","Technicians and Trade Workers",40,1036
"21517","Maori","Gisborne / Hawke's Bay","F",50,"None","Managers",42,2369
"21518","European","Canterbury","F",65,"Vocational/Trade","No Occupation",0,0
"21519","Other","Auckland","M",60,"School","Clerical and Administrative Workers",50,859
"21520","European","Waikato","M",20,"School","Community and Personal Service Worker",77,1185
"21521","European","Wellington","M",30,"Vocational/Trade","Managers",40.5,1573
"21522","European","Auckland","M",55,"Vocational/Trade","Managers",0,194
"21523","European","Auckland","F",30,"Vocational/Trade","Community and Personal Service Worker",15,309
"21524","European","Canterbury","M",25,"Vocational/Trade","Technicians and Trade Workers",40,1160
"21525","Pacific People","Auckland","F",30,"Vocational/Trade","Clerical and Administrative Workers",30,812
"21526","European","Canterbury","F",15,"School","No Occupation",0,324
"21527","European","Gisborne / Hawke's Bay","M",30,"None","Clerical and Administrative Workers",42.5,894
"21528","European","Wellington","M",25,"Vocational/Trade","Technicians and Trade Workers",40,730
"21529","European","Auckland","M",40,"School","Professionals",46,2124
"21530","European","Auckland","F",40,"Vocational/Trade","Clerical and Administrative Workers",60,837
"21531","European","Other","M",35,"Vocational/Trade","Sales Workers",20,381
"21532","European","Auckland","F",20,"Bachelore or Higher","Professionals",15.5,222
"21533","Pacific People","Auckland","M",40,"None","Machinery Operators and Drivers",50,900
"21534","European","Auckland","M",25,"Vocational/Trade","Technicians and Trade Workers",40.5,795
"21535","European","Auckland","M",15,"School","No Occupation",0,42
"21536","European","Waikato","M",15,"None","No Occupation",0,0
"21537","European","Canterbury","M",35,"Vocational/Trade","Technicians and Trade Workers",60,1158
"21538","European","Auckland","M",60,"Bachelore or Higher","Professionals",40,1554
"21539","European","Canterbury","M",55,"Other","Machinery Operators and Drivers",55,1210
"21540","European","Other","F",35,"Bachelore or Higher","Professionals",40,2115
"21541","Maori","Canterbury","M",35,"None","Machinery Operators and Drivers",40,558
"21542","European","Northland","F",65,"None","No Occupation",0,380
"21543","European","Wellington","F",20,"Vocational/Trade","No Occupation",0,527
"21544","Other","Auckland","F",15,"School","No Occupation",0,332
"21545","European","Auckland","F",50,"Vocational/Trade","No Occupation",0,247
"21546","European","Other","F",45,"Vocational/Trade","No Occupation",0,252
"21547","European","Auckland","F",45,"Other","Professionals",50,1879
"21548","European","Wellington","F",65,"None","Clerical and Administrative Workers",40,678
"21549","European","Canterbury","F",35,"None","No Occupation",0,366
"21550","Maori","Gisborne / Hawke's Bay","M",15,"None","No Occupation",0,0
"21551","Asian","Auckland","F",50,"Other","Managers",40,1435
"21552","European","Wellington","F",20,"School","No Occupation",0,519
"21553","European","Auckland","M",20,"Other","Technicians and Trade Workers",60,736
"21554","European","Canterbury","M",45,"None","Managers",55,1234
"21555","Other Ethnicity","Canterbury","M",60,"None","Sales Workers",56,1073
"21556","Pacific People","Auckland","M",35,"Bachelore or Higher","Community and Personal Service Worker",40,504
"21557","European","Wellington","M",35,"Vocational/Trade","Professionals",40,1224
"21558","European","Wellington","M",50,"Bachelore or Higher","No Occupation",0,310
"21559","Pacific People","Auckland","F",40,"Other","No Occupation",0,362
"21560","European","Taranaki","M",50,"Vocational/Trade","Managers",40,1563
"21561","European","Canterbury","M",15,"School","No Occupation",0,0
"21562","Maori","Manawatu-Wanganui","F",55,"Bachelore or Higher","No Occupation",0,0
"21563","European","Wellington","M",65,"Vocational/Trade","No Occupation",0,253
"21564","European","Other","F",55,"Vocational/Trade","Community and Personal Service Worker",40,1203
"21565","Pacific People","Auckland","F",15,"None","No Occupation",0,0
"21566","European","Manawatu-Wanganui","F",60,"School","Clerical and Administrative Workers",35,510
"21567","European","Other","F",45,"Vocational/Trade","Sales Workers",37,814
"21568","European","Wellington","F",45,"Bachelore or Higher","Managers",40,898
"21569","European","Taranaki","F",60,"None","No Occupation",0,95
"21570","European","Canterbury","F",20,"None","Community and Personal Service Worker",40,886
"21571","European","Wellington","M",55,"None","Managers",0,685
"21572","European","Canterbury","M",50,"Bachelore or Higher","Professionals",0,1508
"21573","Maori","Auckland","M",35,"Vocational/Trade","Machinery Operators and Drivers",50,1242
"21574","Asian","Auckland","M",40,"Other","Technicians and Trade Workers",40,1540
"21575","European","Other","M",45,"Bachelore or Higher","Managers",50,2352
"21576","Maori","Bay of Plenty","M",20,"None","Managers",41,732
"21577","European","Wellington","M",55,"Vocational/Trade","No Occupation",0,634
"21578","Asian","Auckland","M",60,"School","Technicians and Trade Workers",37,2701
"21579","European","Canterbury","F",25,"None","Managers",20,795
"21580","Maori","Bay of Plenty","M",35,"Vocational/Trade","No Occupation",0,291
"21581","Asian","Waikato","M",25,"Vocational/Trade","No Occupation",0,322
"21582","European","Auckland","M",25,"Vocational/Trade","No Occupation",0,300
"21583","Pacific People","Auckland","M",30,"Other","Professionals",40,486
"21584","Maori","Bay of Plenty","M",35,"None","No Occupation",0,234
"21585","Maori","Canterbury","F",50,"Bachelore or Higher","Technicians and Trade Workers",15,189
"21586","Pacific People","Auckland","F",40,"None","No Occupation",0,121
"21587","Pacific People","Auckland","F",35,"Bachelore or Higher","Managers",40,1498
"21588","European","Other","M",55,"Vocational/Trade","Technicians and Trade Workers",40,734
"21589","European","Nelson/Tasman/Marlborough/West Coast","F",15,"School","No Occupation",0,0
"21590","Pacific People","Auckland","F",50,"School","Clerical and Administrative Workers",30,913
"21591","Asian","Auckland","M",55,"Bachelore or Higher","Professionals",5,82
"21592","Maori","Waikato","M",45,"None","Machinery Operators and Drivers",40,535
"21593","European","Auckland","M",25,"Bachelore or Higher","Professionals",55,788
"21594","Maori","Gisborne / Hawke's Bay","M",65,"None","No Occupation",0,270
"21595","Asian","Auckland","F",20,"School","Community and Personal Service Worker",50,1080
"21596","European","Wellington","F",25,"Vocational/Trade","Managers",12,501
"21597","European","Other","F",40,"Vocational/Trade","Professionals",20,673
"21598","European","Wellington","F",45,"None","No Occupation",0,465
"21599","European","Auckland","M",65,"Bachelore or Higher","No Occupation",0,0
"21600","Asian","Auckland","F",65,"None","No Occupation",0,413
"21601","European","Waikato","F",25,"Vocational/Trade","Labourers",40,648
"21602","Other Ethnicity","Other","F",65,"None","No Occupation",0,476
"21603","European","Auckland","M",20,"Vocational/Trade","Community and Personal Service Worker",40,499
"21604","Other","Taranaki","F",15,"School","No Occupation",0,0
"21605","European","Gisborne / Hawke's Bay","M",60,"School","Managers",0,-169
"21606","European","Nelson/Tasman/Marlborough/West Coast","M",50,"Bachelore or Higher","Professionals",40,1174
"21607","Asian","Auckland","F",30,"Vocational/Trade","Labourers",37.5,1088
"21608","European","Wellington","M",15,"School","Sales Workers",37,1191
"21609","Maori","Northland","M",20,"Vocational/Trade","Technicians and Trade Workers",45,1688
"21610","European","Auckland","M",20,"School","Sales Workers",44,928
"21611","European","Auckland","M",60,"School","Machinery Operators and Drivers",45,1473
"21612","Maori","Bay of Plenty","F",50,"Vocational/Trade","Professionals",40,863
"21613","Maori","Wellington","M",25,"None","Labourers",0,332
"21614","European","Auckland","M",35,"Vocational/Trade","Professionals",12.5,1317
"21615","European","Manawatu-Wanganui","M",55,"Other","Community and Personal Service Worker",44,1219
"21616","European","Auckland","F",45,"Other","Clerical and Administrative Workers",30,649
"21617","European","Auckland","F",30,"Bachelore or Higher","Professionals",30,1084
"21618","European","Northland","F",40,"Vocational/Trade","Sales Workers",16,278
"21619","European","Other","F",50,"Vocational/Trade","Managers",45,961
"21620","European","Canterbury","M",20,"Vocational/Trade","Technicians and Trade Workers",28,494
"21621","European","Auckland","F",30,"Vocational/Trade","No Occupation",0,1265
"21622","European","Wellington","M",45,"School","Technicians and Trade Workers",0,303
"21623","European","Nelson/Tasman/Marlborough/West Coast","M",40,"Vocational/Trade","No Occupation",0,331
"21624","European","Canterbury","M",25,"Vocational/Trade","Labourers",60,1188
"21625","European","Other","F",65,"None","No Occupation",0,233
"21626","Asian","Gisborne / Hawke's Bay","M",35,"School","Managers",45.5,1227
"21627","European","Bay of Plenty","F",65,"Vocational/Trade","No Occupation",0,105
"21628","European","Waikato","F",40,"Vocational/Trade","Community and Personal Service Worker",40,770
"21629","European","Canterbury","F",65,"None","No Occupation",0,0
"21630","Maori","Auckland","F",65,"School","No Occupation",0,229
"21631","Pacific People","Northland","M",30,"None","Sales Workers",37.5,518
"21632","Other Ethnicity","Nelson/Tasman/Marlborough/West Coast","M",65,"Bachelore or Higher","No Occupation",0,126
"21633","European","Auckland","F",15,"School","Labourers",37.5,518
"21634","Maori","Auckland","F",45,"None","No Occupation",0,246
"21635","European","Canterbury","M",20,"Bachelore or Higher","Clerical and Administrative Workers",50,678
"21636","Asian","Nelson/Tasman/Marlborough/West Coast","F",15,"None","No Occupation",0,408
"21637","European","Canterbury","M",20,"School","No Occupation",0,265
"21638","European","Auckland","F",20,"Vocational/Trade","Community and Personal Service Worker",5,63
"21639","European","Auckland","M",15,"None","Technicians and Trade Workers",13.5,344
"21640","European","Canterbury","M",40,"None","Managers",0,4143
"21641","European","Auckland","M",65,"None","No Occupation",0,0
"21642","Pacific People","Manawatu-Wanganui","M",15,"School","No Occupation",0,0
"21643","European","Taranaki","M",40,"Vocational/Trade","Technicians and Trade Workers",8,176
"21644","European","Canterbury","M",50,"School","Managers",40,643
"21645","European","Auckland","M",40,"School","Machinery Operators and Drivers",40,802
"21646","European","Canterbury","F",35,"Vocational/Trade","Community and Personal Service Worker",37,599
"21647","Other","Bay of Plenty","F",15,"School","No Occupation",0,0
"21648","Pacific People","Auckland","M",50,"Vocational/Trade","No Occupation",0,0
"21649","European","Auckland","M",60,"School","Professionals",0,738
"21650","Asian","Auckland","F",35,"Bachelore or Higher","Managers",42.5,1168
"21651","European","Canterbury","M",35,"Vocational/Trade","Managers",40,1150
"21652","European","Auckland","M",55,"Bachelore or Higher","Sales Workers",0,604
"21653","Asian","Auckland","M",20,"School","Machinery Operators and Drivers",40,1034
"21654","Other","Auckland","M",20,"None","Technicians and Trade Workers",40,695
"21655","European","Manawatu-Wanganui","M",45,"Vocational/Trade","Machinery Operators and Drivers",45,822
"21656","Other","Bay of Plenty","M",15,"Vocational/Trade","No Occupation",0,0
"21657","European","Auckland","M",30,"Vocational/Trade","Technicians and Trade Workers",60,1302
"21658","European","Wellington","M",15,"School","No Occupation",0,0
"21659","European","Manawatu-Wanganui","M",50,"Vocational/Trade","Managers",55,718
"21660","Asian","Other","F",50,"School","No Occupation",0,441
"21661","European","Northland","M",55,"Vocational/Trade","Technicians and Trade Workers",35,1124
"21662","Asian","Auckland","M",20,"Vocational/Trade","No Occupation",0,209
"21663","European","Waikato","F",65,"Other","No Occupation",0,32
"21664","Residual Categories","Wellington","M",35,"Bachelore or Higher","Sales Workers",31,931
"21665","Pacific People","Auckland","M",15,"School","Machinery Operators and Drivers",50,963
"21666","European","Wellington","F",25,"Bachelore or Higher","Clerical and Administrative Workers",0,0
"21667","Asian","Nelson/Tasman/Marlborough/West Coast","M",20,"Vocational/Trade","Technicians and Trade Workers",40,486
"21668","European","Gisborne / Hawke's Bay","F",65,"School","No Occupation",0,984
"21669","Asian","Auckland","F",25,"School","No Occupation",0,295
"21670","Other Ethnicity","Canterbury","F",45,"Vocational/Trade","No Occupation",0,0
"21671","European","Taranaki","F",55,"None","No Occupation",0,393
"21672","European","Canterbury","F",40,"School","Clerical and Administrative Workers",30,754
"21673","Asian","Auckland","M",65,"School","No Occupation",0,508
"21674","European","Waikato","M",25,"Vocational/Trade","No Occupation",37.5,747
"21675","Pacific People","Auckland","F",50,"None","No Occupation",0,121
"21676","European","Auckland","M",30,"Vocational/Trade","Technicians and Trade Workers",40.5,852
"21677","Asian","Auckland","M",20,"Bachelore or Higher","No Occupation",0,0
"21678","European","Other","M",20,"Vocational/Trade","Professionals",24,364
"21679","Other Ethnicity","Auckland","M",50,"School","Machinery Operators and Drivers",50,855
"21680","European","Auckland","M",60,"Vocational/Trade","No Occupation",0,2
"21681","Other","Canterbury","M",20,"Other","Managers",45,1351
"21682","European","Gisborne / Hawke's Bay","M",45,"Bachelore or Higher","No Occupation",0,295
"21683","European","Auckland","F",55,"None","Labourers",40,880
"21684","European","Bay of Plenty","M",35,"Bachelore or Higher","No Occupation",0,1266
"21685","European","Auckland","F",30,"Bachelore or Higher","Professionals",36,619
"21686","Pacific People","Auckland","F",55,"None","Community and Personal Service Worker",41.5,513
"21687","European","Wellington","F",65,"None","Professionals",0,397
"21688","European","Auckland","M",65,"Bachelore or Higher","No Occupation",0,332
"21689","European","Canterbury","F",55,"None","No Occupation",0,440
"21690","European","Auckland","M",65,"School","No Occupation",0,0
"21691","European","Bay of Plenty","F",65,"Vocational/Trade","No Occupation",0,38
"21692","Maori","Wellington","M",45,"Bachelore or Higher","Professionals",40,1557
"21693","Other","Nelson/Tasman/Marlborough/West Coast","F",25,"None","Labourers",23,290
"21694","European","Auckland","M",30,"Vocational/Trade","Technicians and Trade Workers",40,972
"21695","European","Taranaki","F",65,"None","No Occupation",0,0
"21696","European","Canterbury","F",55,"Vocational/Trade","Labourers",5,64
"21697","Middle Eastern/Latin American/African","Auckland","M",30,"Bachelore or Higher","Labourers",48,1206
"21698","European","Wellington","M",15,"School","Sales Workers",20,229
"21699","European","Waikato","M",50,"School","No Occupation",0,487
"21700","Maori","Canterbury","F",30,"School","No Occupation",0,0
"21701","Maori","Other","M",15,"School","No Occupation",0,318
"21702","Pacific People","Auckland","M",15,"None","No Occupation",0,425
"21703","European","Other","M",55,"School","Machinery Operators and Drivers",0,563
"21704","Asian","Auckland","F",30,"Other","Professionals",28,775
"21705","European","Other","F",20,"None","Labourers",1,11
"21706","European","Manawatu-Wanganui","M",20,"School","No Occupation",0,0
"21707","Other Ethnicity","Northland","M",15,"School","Clerical and Administrative Workers",40,587
"21708","European","Waikato","M",30,"None","Labourers",50,906
"21709","Pacific People","Auckland","M",30,"Vocational/Trade","Machinery Operators and Drivers",8,194
"21710","European","Wellington","F",65,"None","No Occupation",0,379
"21711","European","Other","M",65,"School","No Occupation",0,0
"21712","Asian","Auckland","M",45,"Vocational/Trade","No Occupation",0,398
"21713","European","Wellington","M",50,"School","Professionals",40,1118
"21714","European","Waikato","M",45,"Vocational/Trade","Technicians and Trade Workers",40,1899
"21715","Other","Other","F",50,"Vocational/Trade","No Occupation",0,458
"21716","European","Auckland","F",45,"Other","No Occupation",0,462
"21717","European","Canterbury","M",20,"Vocational/Trade","No Occupation",0,197
"21718","Pacific People","Wellington","F",65,"Other","Community and Personal Service Worker",24,1063
"21719","European","Wellington","M",60,"Bachelore or Higher","Technicians and Trade Workers",40,1105
"21720","Asian","Other","F",15,"None","Sales Workers",40,504
"21721","European","Bay of Plenty","M",55,"Vocational/Trade","Technicians and Trade Workers",40,576
"21722","European","Auckland","M",65,"Vocational/Trade","No Occupation",0,0
"21723","European","Canterbury","M",40,"None","Managers",32,2404
"21724","Other","Auckland","M",20,"None","Technicians and Trade Workers",40.5,624
"21725","European","Other","M",35,"None","Clerical and Administrative Workers",25,603
"21726","Asian","Auckland","F",50,"Bachelore or Higher","Professionals",37.5,914
"21727","European","Canterbury","M",25,"Bachelore or Higher","Professionals",32.5,497
"21728","Asian","Wellington","M",30,"Other","Labourers",16,298
"21729","European","Auckland","M",20,"Vocational/Trade","Technicians and Trade Workers",18,297
"21730","European","Bay of Plenty","M",15,"School","No Occupation",0,0
"21731","Maori","Waikato","F",45,"Other","No Occupation",0,0
"21732","European","Nelson/Tasman/Marlborough/West Coast","M",45,"School","Sales Workers",42,942
"21733","European","Wellington","M",15,"School","Community and Personal Service Worker",40,836
"21734","Maori","Gisborne / Hawke's Bay","M",65,"None","Professionals",0,241
"21735","Other","Nelson/Tasman/Marlborough/West Coast","M",60,"Vocational/Trade","Labourers",0,152
"21736","European","Bay of Plenty","M",15,"School","No Occupation",0,0
"21737","European","Other","F",35,"Vocational/Trade","Clerical and Administrative Workers",0,540
"21738","European","Canterbury","F",60,"School","Professionals",0,1289
"21739","European","Other","M",40,"Other","Professionals",0,425
"21740","Asian","Auckland","F",20,"School","Managers",2,23
"21741","Maori","Auckland","F",55,"None","Community and Personal Service Worker",0,-49
"21742","European","Waikato","F",65,"Other","No Occupation",0,242
"21743","European","Gisborne / Hawke's Bay","F",45,"School","No Occupation",0,0
"21744","European","Northland","F",15,"School","Technicians and Trade Workers",37,713
"21745","European","Auckland","M",50,"Bachelore or Higher","No Occupation",0,0
"21746","European","Canterbury","F",30,"Bachelore or Higher","Managers",40,829
"21747","European","Auckland","M",50,"School","Technicians and Trade Workers",0,539
"21748","European","Wellington","F",55,"Vocational/Trade","Professionals",14,95
"21749","Maori","Canterbury","F",30,"School","Managers",0,324
"21750","European","Canterbury","F",15,"School","Labourers",22,322
"21751","European","Wellington","M",20,"Bachelore or Higher","Community and Personal Service Worker",6,82
"21752","European","Wellington","F",60,"Bachelore or Higher","Clerical and Administrative Workers",31,419
"21753","European","Auckland","F",65,"None","Technicians and Trade Workers",40,1013
"21754","European","Auckland","F",45,"Bachelore or Higher","No Occupation",0,265
"21755","Other Ethnicity","Other","F",45,"Bachelore or Higher","Professionals",32,974
"21756","European","Waikato","M",50,"Vocational/Trade","Managers",0,-643
"21757","European","Wellington","F",20,"Vocational/Trade","Technicians and Trade Workers",0,690
"21758","European","Auckland","F",15,"School","No Occupation",0,0
"21759","European","Auckland","F",45,"Bachelore or Higher","Managers",9,374
"21760","European","Auckland","M",50,"School","Labourers",40,501
"21761","European","Manawatu-Wanganui","M",30,"School","Managers",46,621
"21762","European","Other","M",25,"Bachelore or Higher","Machinery Operators and Drivers",32,443
"21763","European","Auckland","M",60,"School","No Occupation",0,1
"21764","Other Ethnicity","Other","F",60,"None","No Occupation",0,69
"21765","European","Bay of Plenty","F",15,"None","Labourers",2,54
"21766","European","Other","F",40,"School","No Occupation",0,0
"21767","Asian","Auckland","F",60,"Bachelore or Higher","Professionals",37.5,1310
"21768","Maori","Other","F",35,"Vocational/Trade","Machinery Operators and Drivers",37.5,574
"21769","Maori","Bay of Plenty","F",35,"Vocational/Trade","No Occupation",0,0
"21770","European","Manawatu-Wanganui","F",30,"School","No Occupation",0,306
"21771","European","Nelson/Tasman/Marlborough/West Coast","M",55,"Vocational/Trade","Technicians and Trade Workers",40,496
"21772","European","Canterbury","F",55,"Bachelore or Higher","Labourers",45.5,1064
"21773","European","Manawatu-Wanganui","M",55,"Vocational/Trade","Technicians and Trade Workers",40,623
"21774","European","Canterbury","F",60,"Bachelore or Higher","Professionals",27,594
"21775","European","Auckland","F",15,"School","No Occupation",0,0
"21776","Other","Canterbury","M",50,"Vocational/Trade","No Occupation",0,32
"21777","European","Other","F",25,"Bachelore or Higher","Professionals",27,759
"21778","European","Other","F",40,"Bachelore or Higher","Technicians and Trade Workers",0,-69
"21779","European","Auckland","F",50,"Bachelore or Higher","Professionals",40,1329
"21780","European","Manawatu-Wanganui","M",50,"Vocational/Trade","Sales Workers",0,1477
"21781","Asian","Auckland","F",45,"Bachelore or Higher","Professionals",18,1244
"21782","European","Northland","M",55,"Vocational/Trade","Technicians and Trade Workers",44,678
"21783","European","Other","M",15,"None","No Occupation",0,0
"21784","European","Auckland","F",50,"School","Labourers",12,157
"21785","European","Other","M",35,"Vocational/Trade","Technicians and Trade Workers",40,1106
"21786","Asian","Auckland","M",20,"School","No Occupation",0,680
"21787","European","Nelson/Tasman/Marlborough/West Coast","F",15,"Vocational/Trade","Professionals",0,-35
"21788","Pacific People","Auckland","F",45,"None","Professionals",8,203
"21789","European","Manawatu-Wanganui","M",65,"None","No Occupation",0,518
"21790","European","Canterbury","F",25,"Bachelore or Higher","Professionals",8,213
"21791","Asian","Wellington","M",65,"None","No Occupation",0,22
"21792","European","Manawatu-Wanganui","M",55,"None","No Occupation",0,133
"21793","European","Taranaki","M",15,"School","No Occupation",0,0
"21794","European","Wellington","F",20,"Vocational/Trade","Clerical and Administrative Workers",0,5149
"21795","Other","Nelson/Tasman/Marlborough/West Coast","F",30,"Vocational/Trade","No Occupation",0,306
"21796","European","Wellington","F",40,"Bachelore or Higher","Professionals",37.5,2630
"21797","European","Auckland","F",20,"Vocational/Trade","Sales Workers",39,837
"21798","European","Waikato","F",65,"Vocational/Trade","No Occupation",0,203
"21799","European","Nelson/Tasman/Marlborough/West Coast","F",45,"None","Labourers",30,340
"21800","European","Wellington","F",45,"Vocational/Trade","Professionals",42.5,1861
"21801","Maori","Gisborne / Hawke's Bay","F",35,"None","Labourers",17.5,540
"21802","Other Ethnicity","Auckland","F",65,"Other","No Occupation",0,0
"21803","Asian","Auckland","F",35,"School","Managers",42.5,2236
"21804","Pacific People","Wellington","M",50,"None","Labourers",20,270
"21805","European","Auckland","M",40,"School","No Occupation",0,88
"21806","European","Auckland","M",25,"Bachelore or Higher","Professionals",40,742
"21807","European","Canterbury","F",35,"Other","Labourers",30,477
"21808","European","Waikato","M",50,"Vocational/Trade","Community and Personal Service Worker",30,937
"21809","Other Ethnicity","Wellington","M",45,"Vocational/Trade","Machinery Operators and Drivers",41,872
"21810","European","Nelson/Tasman/Marlborough/West Coast","M",40,"Vocational/Trade","Labourers",0,0
"21811","European","Manawatu-Wanganui","M",45,"Vocational/Trade","Managers",37,2127
"21812","Other Ethnicity","Gisborne / Hawke's Bay","F",30,"Vocational/Trade","No Occupation",0,330
"21813","European","Auckland","M",20,"School","Technicians and Trade Workers",40,360
"21814","Maori","Wellington","F",65,"None","No Occupation",0,292
"21815","Maori","Auckland","F",50,"None","Professionals",40,1122
"21816","European","Canterbury","M",50,"Vocational/Trade","Machinery Operators and Drivers",40,616
"21817","Maori","Gisborne / Hawke's Bay","M",55,"Vocational/Trade","Labourers",40,655
